,dcID,RID
453,34013015400d3,918815
454,34013015200d0,326709
455,34013015400d4,606790
456,34013015700d1,326998
457,34013014800d1,602795
458,34013015300d0,919588
459,34013014800d2,919860
460,34013015800d0,605326
461,34013015100d0,326295
462,34013015500d0,33422
463,34013014900d0,603554
464,34013015600d1,326974
465,34013015700d2,606075
466,34013015400d5,1093476
467,34013015800d1,751328
468,34013014800d3,1094134
469,34013015800d2,1279067
470,34013015000d0,328695
471,34013015400d6,322914
472,34013015500d1,33422
473,34013021702d0,917903
474,34013021702d1,604571
475,34013021702d2,603856
476,34013021702d3,1226669
477,34013021701d0,322516
478,34013021400d0,917972
479,34013021400d1,322216
480,34013021300d0,605473
481,34013021400d2,328339
482,34013021300d1,325265
483,34013021400d3,1092974
484,34013021300d2,1226585
485,34013011400d0,606684
486,34013010300d0,791798
487,34013011100d0,603335
488,34013010300d1,791798
489,34013010000d0,608330
490,34013010500d0,750850
491,34013011700d0,607369
492,34013010500d1,324879
493,34013010000d1,750850
494,34013010700d0,328094
495,34013010600d0,607485
496,34013010600d1,607487
497,34013010400d0,322861
498,34013010500d2,321827
499,34013010600d2,750677
500,34013010900d0,326140
501,34013010600d3,919092
502,34013010000d2,604189
503,34013010100d0,33406
504,34013010500d3,606628
505,34013011500d0,604243
506,34013010500d4,323967
507,34013010000d3,325830
508,34013010600d4,606830
509,34013010500d5,605976
510,34013011200d0,328682
511,34013010900d1,603425
512,34013010400d1,322863
513,34013011400d1,328956
514,34013010000d4,608330
515,34013010600d5,323034
516,34013010400d2,603326
517,34013010900d2,34199
518,34013011200d1,751494
519,34013011100d1,606838
520,34013011300d0,605228
521,34013009900d0,606622
522,34013010200d0,750889
523,34013011100d2,606835
524,34013010500d6,325956
525,34013010700d1,322065
526,34013010500d7,605979
527,34013011300d1,603127
528,34013011300d2,603127
529,34013010000d5,750852
530,34013010000d6,603042
531,34013010000d7,608330
532,34013020901d0,1227091
533,34013021601d0,1093331
534,34013021601d1,918903
535,34013021601d2,33593
536,34013021601d3,917769
537,34013021601d4,606334
538,34013021601d5,608619
539,34013021601d6,608192
540,34013021601d7,168931
541,34013016000d0,326643
542,34013016000d1,606779
543,34013015400d7,327929
