,scolID,RID
130,34013010500s0,750850
131,34013016100s0,605663
132,34017032400s0,752012
133,34017002700s0,1096122
134,34017012800s0,609946
135,34017000100s0,609231
136,34017003000s1,329955
137,34017007100s0,610147
138,34017007000s0,1229006
139,34017007500s0,609292
140,34019011301s7,611113
141,34019011302s0,611644
142,34019011100s0,611053
143,34019011100s1,1099604
144,34021003201s0,335837
145,34021003302s0,338446
146,34021003302s1,339208
147,34021004304s0,340257
148,34021004304s1,613075
149,34021004304s4,339437
150,34021002500s0,1280290
151,34021003006s3,923483
152,34021003800s0,615703
153,34021001600s1,613256
154,34021003602s0,39560
155,34023001413s2,926844
156,34023007704s1,617164
157,34023006300s1,355330
158,34023002000s0,40613
159,34023006205s0,41003
160,34023003002s1,1232997
161,34023006203s1,44563
162,34023007801s1,621811
163,34023002301s1,622807
164,34023001803s0,354400
165,34035051900s0,185629
166,34023001411s0,619713
167,34023005602s0,1291550
168,34023005602s2,1035593
169,34023009400s0,623615
170,34023008700s0,350923
171,34023008601s0,1107785
172,34023000606s0,1104161
173,34023000606s7,347738
174,34023008502s2,354890
175,34023007804s0,1106751
176,34023008604s3,343737
177,34023008800s1,622487
178,34023007910s0,1106258
179,34023002101s0,173966
180,34023001100s0,617928
181,34023008900s0,346157
182,34023008900s1,1106230
183,34023003700s0,173969
184,34025807100s3,792635
185,34025801500s1,627181
186,34025801500s2,368142
187,34025812300s2,177267
188,34025803600s0,360882
189,34025803600s1,360896
190,34025802900s1,1234653
191,34025802900s2,1234653
192,34025809502s0,1110746
193,34025802300s0,630493
194,34025804500s0,624972
195,34025810102s0,51053
196,34025810102s1,627294
197,34025810003s2,625154
198,34025810003s3,359387
199,34025808600s2,626839
200,34025811200s0,1235324
201,34025805100s1,361681
202,34025810600s1,1281288
203,34025809501s3,1110060
204,34025807900s1,364744
205,34025807900s2,177286
206,34025809701s0,628420
207,34025809701s5,361408
208,34025810503s0,179368
209,34025810503s1,178457
210,34025810001s0,628528
211,34025808402s1,792786
212,34025803700s0,624933
213,34025803400s1,369198
214,34025812502s1,930698
215,34025810004s0,632536
216,34025809704s0,1113575
217,34025806201s0,627029
218,34027041400s0,1116440
219,34027046300s0,1237246
220,34027046106s2,376382
